House Size (Acres),Number of Bedrooms,Number of Bathrooms,Year Built,Distance from City Center (km),Price (Lakhs to Crores)
0.64,1,3,1987,9.74,416.1
0.99,1,2,1966,11.84,473.8
3.9,3,4,1953,6.74,742.54
4.53,1,2,2008,26.15,779.62
3.68,5,4,1996,25.1,493.44
4.02,5,1,1994,47.47,394.38
4.52,2,3,2001,35.42,128.37
1.47,6,3,1988,31.07,178.8
3.37,6,2,2020,42.0,596.33
4.48,1,1,1986,39.34,498.28
2.39,5,4,1994,44.61,29.33
2.08,4,1,1984,8.27,730.0
1.75,5,1,2010,7.15,973.59
1.04,1,3,2003,28.31,660.67
1.95,2,3,1955,13.21,372.79
4.8,3,2,1985,15.34,20.2
0.12,4,3,1961,44.89,339.71
1.17,1,3,1970,26.43,710.22
3.55,4,1,1962,18.5,915.86
3.77,6,3,1988,28.07,944.25
2.99,2,2,1973,23.73,69.56
0.95,3,3,1954,32.76,945.67
1.82,6,3,1991,31.38,918.25
0.2,4,4,2014,5.4,868.92
1.03,4,1,2002,7.59,347.28
3.87,6,1,2000,3.7,764.03
3.69,1,3,1968,27.98,95.72
3.55,3,3,1971,16.41,842.2
0.64,6,2,2003,42.92,697.73
0.63,5,4,1970,29.68,902.15
0.33,6,3,2001,35.01,423.68
3.18,4,2,1968,13.91,234.69
2.81,1,4,1982,17.44,241.01
2.46,2,2,2010,4.26,698.45
0.46,1,2,1998,14.98,85.53
0.58,1,2,1979,23.26,527.56
3.58,3,4,1976,42.79,642.83
0.57,4,2,1979,26.5,276.14
4.75,4,3,1965,17.75,984.52
0.71,6,2,1958,17.01,847.88
2.69,2,4,2008,4.58,112.56
2.48,6,3,2020,29.5,485.18
2.22,4,3,1951,6.98,977.48
1.32,6,3,1968,21.29,287.06
2.26,4,2,2005,42.75,759.04
1.92,3,3,2022,37.86,603.96
1.98,6,1,1989,9.65,422.32
0.71,5,3,1965,5.01,801.36
4.37,5,4,1951,11.96,119.32
4.44,3,4,2005,6.94,839.66
3.79,5,2,1971,29.24,437.1
0.7,2,2,1997,8.48,959.08
0.94,3,4,1978,27.11,259.57
2.47,2,2,1994,48.53,915.47
0.3,6,4,2022,42.46,633.91
0.31,2,4,1987,13.02,170.18
1.47,5,4,2000,6.98,107.77
2.35,6,2,1955,47.44,767.14
3.45,2,3,1984,39.73,792.33
2.47,5,1,2002,46.06,189.56
3.25,6,2,1954,7.95,785.53
4.66,3,2,1975,18.01,809.45
3.14,1,3,1984,17.02,246.69
2.49,4,4,1984,21.02,827.01
1.96,2,2,1985,2.37,651.01
4.77,5,3,2003,47.36,241.48
2.86,5,2,1991,4.36,833.47
4.22,6,4,1955,13.08,985.3
3.55,4,3,1999,46.09,753.23
1.51,4,3,2010,30.49,307.21
0.38,6,1,1972,3.24,99.58
2.24,3,4,1974,29.65,905.88
4.38,4,4,1965,18.3,853.15
4.98,3,2,1965,3.29,155.62
0.79,2,2,2016,25.37,348.92
3.48,4,1,1972,45.16,309.67
1.67,5,2,2011,16.03,467.45
3.91,2,1,1998,32.14,958.08
1.33,5,2,1968,22.15,854.05
4.92,1,2,2018,7.11,375.81
3.33,4,4,1977,47.61,347.68
2.76,4,2,2004,28.17,448.64
3.7,5,2,1983,18.57,788.89
0.16,6,4,1985,32.66,889.99
4.54,2,4,2020,18.56,891.37
0.31,3,2,1971,30.54,898.18
4.1,2,3,1955,31.74,640.84
2.08,5,1,2017,19.28,759.69
1.6,1,2,1985,20.13,592.64
3.73,1,3,1954,45.96,749.93
1.08,2,4,1981,28.93,34.83
3.59,3,1,2022,31.24,775.06
3.54,6,4,2011,41.81,192.64
1.5,2,2,2011,3.88,73.01
4.18,4,3,2020,3.72,716.14
3.9,3,4,1954,21.9,197.83
0.77,2,4,2006,27.29,465.59
1.69,1,2,2004,29.89,479.62
0.28,4,1,2000,3.71,423.0
0.16,6,1,1958,33.98,515.05
2.45,1,1,1969,46.69,916.99
2.67,2,1,1958,16.29,676.26
1.25,3,2,2020,38.47,384.46
1.12,2,3,1995,47.93,616.53
1.15,4,1,1970,38.86,584.14
4.27,1,3,1977,48.15,622.26
1.3,4,3,2001,12.95,977.62
4.49,1,1,1974,17.8,943.69
1.37,4,2,1967,24.94,646.96
1.38,5,3,2017,24.35,599.45
3.79,1,1,1997,35.58,658.99
2.19,6,4,1998,7.4,101.34
3.78,2,2,1977,12.46,666.43
1.79,5,1,1969,20.12,27.58
4.31,4,3,1968,26.28,225.56
4.31,5,4,2015,5.63,201.57
2.45,3,3,2007,15.26,937.36
4.41,3,2,1980,18.18,415.15
1.7,1,4,2000,20.27,841.6
4.97,3,3,1972,28.0,672.65
3.74,2,2,1994,4.16,996.87
3.33,1,4,1994,32.23,251.32
2.93,2,3,1978,8.3,771.24
0.93,4,1,1950,28.83,783.1
2.07,1,1,1999,22.63,52.13
3.77,3,3,2009,48.98,633.58
4.02,4,4,2018,39.39,107.69
4.47,2,1,2009,19.35,731.79
3.98,5,3,1960,8.99,314.46
2.68,1,1,2010,47.32,292.08
4.19,1,1,2019,2.93,501.34
4.07,6,4,1989,18.95,189.39
0.52,3,1,1999,23.91,595.03
3.5,5,1,2001,31.0,315.81
1.71,3,2,1965,14.22,902.46
3.7,3,2,1990,31.54,976.23
3.31,4,3,1963,20.72,285.37
3.36,5,4,1994,37.95,326.43
3.82,4,1,1965,13.05,753.82
3.02,6,4,1966,46.2,89.89
2.51,6,4,1957,30.36,830.91
3.57,1,4,1971,1.22,331.76
0.1,2,2,1985,29.87,50.77
1.6,6,4,2016,44.12,208.75
1.15,4,3,2010,5.57,153.65
4.72,3,2,1993,45.12,316.74
3.16,6,3,2009,33.06,221.93
4.91,4,1,2000,5.12,869.63
3.96,4,1,2005,29.06,361.73
3.83,1,1,1984,7.39,751.98
4.97,4,4,2000,25.78,686.58
3.99,2,4,1951,5.51,140.83
2.9,4,4,1977,49.35,365.06
3.39,2,1,1978,33.2,810.85
1.11,5,2,1965,29.38,988.21
3.45,5,3,2005,48.31,968.24
4.92,3,4,1968,2.96,642.35
1.92,4,2,2000,16.86,386.38
4.11,1,4,1966,15.27,974.13
4.16,6,3,2019,10.3,788.18
2.23,1,4,1973,30.96,162.95
1.76,2,2,1974,40.92,882.1
4.25,6,4,1995,10.91,170.89
0.9,6,3,2002,8.78,438.36
2.22,2,3,1985,10.99,297.26
4.97,3,1,1975,49.42,408.01
1.52,3,4,1956,44.31,459.0
3.21,2,4,1999,11.52,708.93
1.92,1,4,1961,8.81,256.1
4.73,5,2,1966,45.31,395.87
2.33,1,3,2003,21.16,899.14
4.9,6,1,1958,13.25,141.56
0.51,5,3,1956,20.52,734.69
1.4,6,3,1954,47.96,526.91
2.58,6,1,1960,31.74,114.9
1.82,5,3,1968,46.19,758.74
4.7,2,4,1959,8.77,896.63
4.05,6,1,2019,31.26,988.84
2.62,1,1,1957,7.01,711.02
4.97,3,1,2009,14.97,539.35
3.09,5,4,2022,22.1,629.82
0.18,3,2,1985,2.48,924.75
3.4,5,4,1991,26.44,794.6
2.14,6,4,1990,9.51,320.79
0.64,6,3,1994,21.93,989.5
2.65,1,3,1950,34.33,908.88
0.26,3,1,1988,3.78,203.55
4.83,4,4,2008,3.69,211.81
3.04,2,1,1987,46.41,286.44
1.52,2,1,1992,45.53,994.8
3.87,1,1,2013,35.29,93.56
1.07,4,2,1988,49.36,793.53
1.43,2,2,1988,33.67,287.87
4.77,4,2,2020,5.78,893.11
2.95,2,4,1963,24.69,839.82
1.48,3,2,1986,26.04,460.11
3.27,1,4,1980,21.96,524.91
4.13,6,4,1986,6.55,237.39
4.64,2,2,1991,23.75,40.48
4.35,5,3,1966,7.65,630.94
3.69,1,4,1995,37.12,518.91
3.49,3,3,1971,12.7,163.49
2.63,4,3,1963,21.32,478.15
4.64,3,2,2016,11.13,477.31
4.05,1,4,2022,38.1,368.1
3.19,1,1,2007,9.68,142.46
0.53,2,1,1974,20.0,638.4
2.3,3,2,2018,43.41,714.31
2.74,5,2,1999,22.49,466.68
1.07,2,2,1965,31.0,524.2
3.67,2,3,1952,7.45,622.83
2.85,1,3,1969,36.16,289.99
4.15,4,1,2000,45.84,952.77
1.49,3,1,1993,26.92,332.68
1.24,3,1,1985,22.6,694.55
3.49,3,3,1985,8.91,467.93
1.59,1,4,1979,2.58,375.37
3.54,5,3,2009,39.98,319.05
0.51,4,3,1977,15.15,629.88
1.59,4,2,1975,24.15,989.83
4.41,2,4,1989,40.01,711.26
4.6,5,1,2005,18.69,866.29
4.81,3,3,1986,28.22,720.73
4.45,3,2,1952,25.0,770.46
3.66,1,2,1953,3.54,593.54
3.83,6,1,1970,13.53,510.42
3.27,2,1,2001,16.47,227.5
1.12,5,3,1982,13.82,981.63
1.86,5,3,2001,13.88,60.51
4.92,4,4,1958,48.05,479.06
0.8,5,1,1965,29.52,262.95
2.78,6,2,1956,44.29,167.88
4.39,5,1,2003,26.26,672.71
1.05,3,3,2006,16.39,131.38
1.88,2,3,1952,39.75,446.86
4.07,4,2,2016,22.35,663.53
0.14,1,3,1998,39.1,727.82
4.89,3,4,2012,42.22,174.03
3.94,6,1,1981,38.18,109.81
4.24,2,3,1977,36.83,447.56
0.59,2,1,1958,32.32,127.15
4.56,2,4,2017,33.25,637.5
1.23,3,3,2003,35.49,91.52
3.42,6,1,1967,15.53,48.38
1.15,6,3,1995,26.89,129.9
1.27,6,3,2015,47.26,411.37
4.69,6,1,1986,7.72,235.92
1.95,1,1,1992,20.34,263.04
3.78,1,2,1972,22.26,505.0
2.72,4,2,1984,41.71,440.27
2.7,5,4,2009,13.83,638.96
1.27,1,2,2013,1.19,500.42
2.5,5,2,1963,3.59,321.25
3.21,6,2,1950,36.31,659.21
2.85,2,4,2009,22.02,287.39
1.82,5,2,1996,46.42,852.76
3.33,6,4,2015,13.56,590.86
0.21,3,2,1996,48.11,222.95
2.66,1,2,1994,7.84,503.96
3.29,4,2,2002,35.2,957.61
3.64,3,1,2007,17.76,973.07
4.26,3,2,1961,42.01,836.55
3.85,5,4,1971,6.74,815.02
2.49,5,1,1990,34.09,713.5
3.78,1,3,1999,6.87,895.19
3.39,4,3,1984,42.84,963.34
4.89,6,4,1971,28.15,700.84
4.56,1,2,2007,2.53,789.76
1.88,6,4,1986,24.15,258.8
4.62,2,1,1986,14.89,48.36
1.47,4,1,1964,35.06,325.75
4.55,2,2,2016,3.73,705.44
2.64,1,2,2013,38.83,113.32
0.78,5,3,1998,43.52,340.13
2.83,6,3,2013,24.01,88.52
1.29,3,2,2012,25.46,395.2
2.74,2,4,1973,6.07,66.68
1.86,5,4,2005,34.46,434.53
2.86,5,1,2017,13.31,645.92
4.06,5,3,2020,21.64,828.53
1.03,5,3,1957,38.19,837.7
0.12,1,1,2008,23.67,738.32
0.24,2,1,1986,5.98,672.95
1.81,2,2,1968,4.55,698.82
3.05,4,1,2018,11.51,745.31
4.17,5,1,2018,18.99,712.78
1.18,1,1,1965,5.46,543.91
4.25,4,1,2022,49.09,895.67
4.93,6,3,2011,31.65,338.96
3.03,1,3,2015,16.61,360.41
0.88,1,2,1952,23.16,200.42
2.68,6,3,2013,26.68,167.44
0.26,4,2,1990,5.76,781.04
1.34,3,3,2004,18.9,359.1
1.57,5,4,1982,5.96,668.4
4.07,2,3,1953,43.14,882.41
3.09,5,2,1997,29.5,187.24
4.67,2,1,1963,49.84,98.04
0.26,5,4,1998,4.07,946.94
2.05,5,4,2018,10.42,776.65
2.05,5,3,1964,11.14,533.14
1.53,1,4,1974,18.81,822.37
2.27,4,2,1992,23.24,282.98
3.94,4,3,2017,25.1,526.25
1.13,2,3,1964,39.08,264.14
4.62,6,3,1954,49.97,708.39
3.7,1,4,2007,19.25,725.76
3.94,5,1,2017,33.2,873.28
3.52,1,4,2008,42.24,194.12
3.42,2,1,1972,47.5,819.9
4.3,2,4,2021,25.44,778.86
4.49,5,3,2007,5.16,21.9
0.31,6,3,1997,11.4,875.53
1.4,2,3,2008,22.7,838.04
4.92,4,2,1978,13.0,567.07
0.32,1,4,2006,37.48,62.36
1.24,5,4,1974,35.38,49.91
4.53,3,3,1954,22.59,671.18
1.42,3,2,2017,1.26,307.1
4.68,6,4,1958,10.01,663.67
1.72,2,2,1994,29.83,199.0
0.98,1,1,1976,1.22,654.5
2.24,3,1,1987,12.52,986.7
2.66,3,1,2004,18.27,348.89
2.48,3,3,1967,6.53,430.44
1.15,4,3,2015,33.13,330.45
2.36,6,3,1999,37.3,543.16
3.76,2,3,1985,45.93,28.65
3.47,5,4,2008,49.95,924.82
2.66,4,1,2007,18.04,521.86
1.32,5,2,2000,13.73,138.53
4.51,1,1,2014,3.98,554.74
0.34,4,1,1962,1.76,888.95
3.8,4,2,1971,9.29,137.06
1.96,1,1,2007,21.91,175.49
1.06,1,3,2015,29.38,935.49
3.93,2,2,1957,28.02,193.19
1.08,3,4,2022,32.21,856.37
4.97,4,2,2002,39.68,295.29
1.68,1,4,1961,27.59,533.34
3.37,2,3,2002,21.06,569.3
1.7,5,4,1954,40.27,615.43
2.69,6,4,2013,12.4,292.15
1.26,6,2,2014,6.35,556.43
1.45,2,2,1952,20.74,307.41
4.34,5,4,1951,36.34,776.19
1.02,2,1,1964,14.61,410.47
4.86,2,1,1974,6.91,649.3
4.41,2,3,1973,16.58,999.82
3.21,4,2,1954,17.87,684.62
4.09,1,2,1995,46.62,927.42
2.88,1,4,1984,47.06,92.53
2.62,4,1,2007,33.41,655.08
3.48,3,2,2000,4.73,802.33
4.96,5,2,2006,34.41,468.07
2.82,5,3,1986,18.95,262.8
2.31,1,2,2001,19.55,730.48
2.27,4,1,1992,48.51,153.76
0.78,4,1,1999,17.46,862.13
1.69,1,2,1970,1.98,959.9
1.68,6,2,1978,48.62,33.18
2.92,1,4,1959,15.2,677.15
0.53,2,3,1974,12.3,840.79
4.22,1,4,2008,16.51,119.7
3.36,1,1,1989,10.14,54.15
1.32,4,4,2020,3.91,438.57
0.23,1,1,1996,21.14,113.11
1.39,6,2,1966,11.55,739.86
1.26,3,1,2022,36.01,667.42
0.47,1,3,1980,36.61,84.65
4.75,4,2,1963,12.1,26.23
2.45,6,1,2021,13.72,184.19
1.56,2,3,1972,8.24,948.33
3.66,3,2,2020,31.19,330.87
3.85,1,4,1954,39.88,737.98
2.14,4,2,2000,2.04,552.99
1.3,6,4,1990,3.17,153.86
1.01,2,2,2022,3.96,238.29
2.45,4,3,2022,1.84,263.95
0.89,5,4,1974,33.49,202.95
1.66,6,3,1951,44.46,796.93
4.49,1,2,1968,6.75,187.95
1.65,1,2,1983,35.11,233.91
3.93,6,4,1985,24.63,314.3
2.64,2,2,1998,3.78,310.3
4.58,4,4,2019,44.48,569.09
2.16,6,1,2000,29.88,676.44
1.58,3,3,2015,5.88,907.13
0.5,6,4,2001,15.9,614.27
4.29,4,3,1989,19.12,902.19
0.58,5,2,2010,43.75,687.01
1.85,1,2,1977,22.85,31.87
3.19,6,1,1965,1.03,430.24
0.82,6,3,1995,49.27,167.41
2.56,1,3,1953,16.03,219.08
0.36,1,4,1979,5.75,594.09
3.88,3,3,1998,38.11,411.16
3.12,4,3,1989,40.78,394.46
1.13,2,2,1976,5.45,637.04
1.58,3,1,2019,7.25,780.3
4.86,3,2,1972,28.26,928.52
0.74,1,4,1997,32.65,780.34
0.35,2,2,2012,37.98,356.42
3.06,5,2,2011,3.04,224.87
1.18,2,2,1971,8.26,344.01
3.84,2,4,1965,34.25,550.08
1.52,2,4,1957,34.8,570.37
1.55,2,1,2009,41.15,380.9
2.62,3,4,2006,7.31,521.01
2.12,5,1,1972,7.17,230.41
0.18,3,4,1994,38.13,459.44
4.55,5,4,1978,37.24,613.94
3.02,5,3,2020,40.88,136.42
3.32,6,2,1971,43.04,827.85
3.86,5,1,1956,31.52,490.93
1.1,2,2,2010,46.17,202.56
0.66,2,1,2007,8.39,951.46
4.8,2,4,1994,6.4,715.1
2.82,2,3,2016,39.13,319.81
0.73,3,2,1975,4.52,911.81
0.77,6,4,2014,16.25,470.89
0.85,1,4,1969,46.42,141.86
2.75,2,1,2010,34.48,245.3
1.4,2,2,1952,33.55,565.01
4.49,4,3,1980,26.13,46.3
1.63,3,2,2008,5.01,616.27
2.44,3,1,1989,11.29,258.65
4.46,3,2,1950,4.13,997.83
4.0,6,3,2017,20.86,187.23
4.57,6,3,1964,18.23,735.78
1.32,1,4,1962,47.68,892.01
4.44,5,3,1998,33.65,178.41
4.84,1,3,2004,41.61,943.38
3.59,3,4,1953,5.97,897.66
1.48,5,2,1973,17.04,314.38
0.8,3,4,2006,2.62,474.65
4.42,1,2,1994,35.57,467.73
4.19,6,3,1974,39.16,310.77
2.87,5,1,1971,40.82,132.63
3.72,3,3,1973,40.16,214.65
4.83,4,3,1999,1.46,678.36
4.16,2,2,2004,8.35,199.62
4.19,4,2,1996,17.7,983.63
2.92,1,4,1955,22.85,545.29
2.05,4,3,1956,48.79,43.44
1.46,1,4,1957,46.0,909.46
4.26,1,4,1982,41.29,352.71
2.88,4,1,2014,39.32,118.05
4.64,2,4,1960,41.93,71.8
1.57,1,2,1951,37.84,963.84
2.33,3,1,1990,23.02,461.57
3.42,5,3,1964,37.89,906.15
2.39,6,4,1988,9.81,275.71
0.2,3,1,2015,12.95,679.63
1.73,6,4,2008,27.22,46.77
0.77,6,1,1982,8.62,747.55
0.72,6,2,1978,43.91,812.66
2.3,1,3,1978,32.53,103.78
3.38,6,3,1968,10.07,438.84
0.19,5,2,1968,36.33,465.93
2.41,3,4,2009,37.36,558.86
4.81,5,2,1972,40.83,796.43
4.84,6,1,1957,32.87,451.9
0.41,3,3,1950,47.38,37.91
2.19,4,3,1981,9.22,331.27
2.66,3,4,1952,9.8,13.87
2.08,2,2,2003,21.17,983.78
0.39,6,1,1956,9.27,390.26
0.93,4,2,1970,32.56,84.73
1.79,4,1,2001,35.21,33.28
1.74,1,4,1995,30.95,711.62
4.46,1,1,1985,30.46,733.79
1.62,5,4,1976,20.37,644.13
3.51,5,4,1974,34.34,841.52
4.75,4,3,2002,12.31,93.33
0.11,5,4,2011,10.58,674.97
1.38,5,1,2012,22.12,675.83
3.34,6,1,2014,20.29,117.15
2.93,1,2,1966,34.96,969.98
0.89,5,4,1984,19.46,567.54
4.82,2,3,1989,4.3,737.88
4.81,5,3,2019,39.73,491.06
4.42,5,1,2017,49.55,829.08
4.13,1,2,1985,3.12,874.1
0.4,1,4,1984,42.67,756.46
3.37,4,4,1974,33.27,551.15
2.46,4,3,1994,10.15,782.57
3.48,5,3,1995,35.22,67.06
0.42,5,4,2012,45.47,965.47
3.27,3,4,2015,29.91,429.5
2.63,5,2,2019,35.51,412.84
4.14,5,3,1990,2.37,55.85
4.58,4,2,2006,9.64,994.09
2.58,4,3,1952,7.96,749.04
2.57,6,4,1978,24.3,60.07
3.79,2,4,1978,24.87,879.74
3.75,2,3,2010,8.81,743.5
3.96,6,3,1999,30.77,334.76
4.15,1,2,1951,44.11,597.86
2.23,2,2,1961,48.21,226.52
4.57,6,1,1966,42.27,93.31
3.65,5,2,1951,48.82,678.01
4.71,5,4,2001,20.35,936.33
0.93,4,3,1980,35.36,567.97
2.13,2,3,1988,27.2,477.91
4.87,5,3,1999,4.48,451.65
2.97,3,3,2000,21.78,35.39
0.14,1,2,1988,8.66,21.81
4.09,6,4,1954,20.31,321.26
3.6,6,1,1989,5.96,556.14
1.89,5,3,1998,1.52,576.48
3.89,3,2,2011,43.83,278.15
1.84,3,4,1963,8.5,926.92
3.13,2,2,1977,35.77,660.91
4.9,1,3,1971,9.64,258.18
2.07,2,1,1983,49.72,547.48
1.73,5,4,1972,38.66,157.43
4.86,3,3,2006,19.91,406.71
3.13,5,1,1975,20.32,930.62
3.85,3,2,2000,30.07,60.19
1.36,1,3,2000,19.73,562.34
0.82,4,3,1975,28.75,124.26
2.52,5,4,1993,4.23,169.36
0.76,3,3,1961,17.24,329.74
2.6,3,1,2003,46.82,24.6
1.96,6,2,1992,7.42,795.67
3.13,4,1,1954,4.64,124.54
1.15,1,1,1951,5.26,134.15
3.9,6,4,2022,4.12,13.68
3.53,5,3,1999,6.16,770.73
2.95,3,2,1951,17.38,660.86
3.91,4,3,2012,29.3,773.88
4.03,2,1,1994,49.82,182.61
4.49,6,1,2007,18.83,512.44
3.31,4,3,1952,38.6,590.94
2.76,3,4,1986,1.75,943.19
4.5,2,1,1991,49.83,345.97
1.0,4,1,1983,20.23,320.44
1.96,3,3,1995,43.55,310.35
3.63,6,2,1996,44.78,669.19
2.8,2,3,1999,18.0,649.76
1.58,6,4,1989,18.38,981.15
4.01,4,2,2018,24.82,385.13
3.46,6,1,2004,8.61,657.07
0.33,6,3,1973,29.63,171.02
4.18,5,3,1957,35.28,583.49
0.62,5,3,1954,31.14,330.76
4.39,2,2,1952,2.89,941.87
2.22,1,4,1991,26.63,815.09
3.81,6,4,1978,34.79,952.67
1.57,5,3,1968,32.16,24.63
1.97,4,4,2000,49.55,562.83
0.69,5,4,2003,22.46,655.36
3.47,1,1,2022,46.04,367.81
1.61,1,2,1955,28.93,286.35
0.46,4,4,2008,14.9,718.41
0.65,4,1,1960,33.97,55.91
1.38,3,3,1970,13.85,273.14
4.73,2,4,1950,36.27,807.59
3.61,3,4,1982,49.16,642.5
2.98,3,1,1989,7.66,748.43
1.03,2,1,2019,18.18,783.07
2.0,4,3,1993,20.42,109.54
4.1,4,1,1995,11.34,284.53
4.64,1,3,2006,2.71,380.7
2.06,6,4,1956,36.14,342.48
2.72,1,2,1982,25.53,887.73
3.39,1,3,1964,38.31,683.68
4.63,1,2,1973,36.59,92.44
1.5,2,3,1966,27.64,246.5
2.32,3,2,2021,32.27,191.36
4.84,1,1,1991,11.46,927.37
1.5,1,4,1962,29.57,642.13
1.26,2,2,1995,34.31,100.13
2.57,1,3,1958,29.96,829.76
4.27,6,4,2000,1.41,501.66
4.25,5,4,2021,23.71,408.24
4.63,4,3,2009,43.83,922.58
2.04,6,3,1982,13.49,455.65
4.35,6,2,1990,10.59,867.58
1.01,4,4,1950,14.35,655.04
0.53,1,1,2005,20.0,326.22
4.74,3,1,1997,18.35,111.12
3.92,3,3,2004,46.37,351.37
0.79,3,1,1954,33.2,247.53
3.58,5,4,1988,27.86,834.94
2.13,5,2,2021,27.4,126.69
1.1,1,3,1990,29.75,524.65
3.35,1,3,2022,21.31,638.38
4.5,5,4,2011,15.2,366.52
4.41,5,3,1978,46.64,665.88
1.87,4,4,2022,12.39,322.25
3.39,1,3,1971,29.39,636.67
3.94,2,1,1950,32.78,40.46
3.26,6,1,1977,27.08,956.3
2.46,3,3,2001,15.3,208.42
1.06,5,4,1980,12.2,285.92
4.9,2,2,1970,49.49,150.65
1.91,5,4,2009,18.15,264.01
2.88,6,2,1972,21.84,895.27
1.84,4,1,2010,29.63,880.47
4.5,1,2,1967,43.0,733.55
1.12,6,1,1958,11.38,63.96
4.69,5,3,2001,45.22,373.94
0.61,6,4,2012,27.01,134.52
0.13,2,1,2003,41.57,548.88
2.52,5,4,1999,21.29,481.46
3.25,5,4,2011,21.81,294.41
1.83,1,2,2007,9.47,588.44
1.78,4,4,1998,40.26,993.12
0.2,5,2,1970,11.17,335.82
3.26,5,1,2012,37.72,15.36
3.76,3,4,1971,35.69,20.89
1.97,6,3,2003,39.0,38.22
1.56,5,3,1982,2.83,253.04
1.0,5,2,2022,9.15,941.28
4.5,4,1,2008,46.43,163.86
2.85,1,1,1974,16.47,967.0
3.14,2,3,1969,19.81,181.89
1.31,2,2,1963,38.73,281.99
0.53,5,1,1956,29.53,707.55
3.98,4,3,1991,30.06,339.41
0.28,2,4,2022,2.28,883.85
0.91,6,2,1993,10.24,299.4
1.2,4,1,1967,7.5,231.47
0.37,3,2,1996,47.33,827.48
0.73,2,2,2020,30.86,153.92
3.53,3,1,1959,27.48,820.89
4.27,5,4,1958,12.61,956.87
1.52,1,3,1953,5.93,731.85
4.12,4,1,2006,41.95,425.54
0.37,4,1,1964,41.45,73.75
1.72,2,1,1969,4.36,147.82
0.81,3,1,1979,26.04,860.99
2.71,2,2,1964,7.29,39.44
2.77,6,4,2007,12.03,374.09
4.68,3,2,2020,9.95,330.09
3.45,6,2,1954,37.93,353.17
1.94,4,3,2009,15.98,700.55
3.33,4,4,2008,8.93,446.61
1.73,3,4,1953,21.55,113.2
1.21,4,3,1950,16.81,965.78
4.26,5,1,1991,46.83,927.48
2.64,2,4,2015,30.75,433.03
2.05,3,1,1969,27.59,796.75
4.88,4,2,1997,8.53,979.0
3.85,2,2,2011,13.43,68.78
4.97,1,3,1956,36.54,913.33
3.52,1,3,1954,32.08,586.21
4.05,2,3,1964,39.81,678.89
1.64,5,3,1991,12.75,50.8
1.53,4,3,1957,17.02,906.45
2.52,1,3,1975,18.96,120.25
1.23,6,3,2014,3.65,688.76
1.24,1,2,1984,46.23,184.99
4.97,3,4,1964,46.13,855.25
3.79,3,1,1950,22.98,735.67
4.39,2,3,1987,16.85,212.31
4.8,1,3,1996,21.79,624.48
1.08,6,2,1987,1.27,881.6
0.66,1,2,2019,43.86,398.2
4.66,2,2,1963,35.1,93.75
1.75,1,1,2016,46.81,856.73
3.78,6,2,1957,27.21,349.25
0.53,2,1,1982,9.59,575.27
0.45,6,2,1988,5.57,333.88
2.53,6,1,1959,14.85,797.89
1.23,3,1,1953,30.23,441.31
3.1,4,2,1964,1.34,661.24
0.52,4,3,1969,27.15,951.6
2.01,4,4,1985,2.24,212.85
2.22,1,4,1963,1.99,159.28
1.52,6,2,1989,37.35,391.41
3.37,1,4,1972,32.69,549.7
2.18,1,3,1951,34.98,13.64
3.64,1,4,1972,28.65,734.4
4.73,1,4,2019,32.82,510.44
2.94,3,1,1966,16.04,734.43
3.06,2,3,1988,21.45,11.11
2.91,5,2,1965,49.04,237.97
4.58,4,2,1987,36.11,963.34
3.79,6,3,1969,12.24,265.22
3.82,3,2,1980,32.13,767.46
3.3,6,3,2000,33.2,276.24
1.24,4,4,2018,7.35,877.32
4.28,3,3,2016,28.69,147.77
4.93,2,2,1988,40.64,16.31
3.04,6,3,2001,35.64,79.49
2.41,5,2,1972,45.67,336.48
2.48,5,2,1996,30.49,372.55
4.36,5,1,1978,24.97,699.5
0.71,1,3,1957,34.79,982.61
3.04,5,4,2006,37.35,203.76
1.41,3,3,1953,31.51,978.08
2.14,6,4,1987,14.44,65.34
2.24,6,3,2020,12.48,637.2
4.49,1,3,1994,27.05,601.35
1.75,3,4,1982,48.86,935.11
1.23,3,4,2018,14.92,933.64
3.91,3,4,1959,28.41,131.7
3.81,6,1,1973,37.25,926.07
2.76,5,4,2015,14.29,262.54
3.25,6,1,2012,19.57,49.72
3.31,2,2,1989,26.21,810.96
3.63,2,1,2019,7.18,45.42
0.47,2,2,2004,25.76,883.01
1.97,6,4,1994,27.86,958.24
0.78,2,4,2001,22.28,427.09
1.43,5,1,1965,45.55,376.7
3.69,4,3,1961,40.06,746.03
2.5,4,3,1973,15.88,173.61
2.51,3,4,1973,7.4,621.29
0.93,3,4,1950,47.13,367.04
2.83,5,1,1966,3.41,519.25
4.45,1,3,1958,31.66,766.3
3.81,1,1,2017,28.83,445.99
4.94,1,4,1979,48.96,193.77
4.37,2,4,1978,9.16,315.81
3.76,1,2,1970,4.61,983.96
2.53,5,4,1956,25.31,205.79
2.06,6,3,1993,38.29,527.48
2.45,1,1,1951,16.6,449.42
4.84,6,2,2005,13.14,926.0
4.5,2,1,1992,17.8,881.24
4.21,4,1,1971,9.41,883.55
4.22,4,3,2012,12.18,282.94
1.84,2,2,1993,38.15,138.58
2.43,5,2,2007,28.95,949.4
2.42,2,3,1969,38.13,292.53
4.1,2,3,2022,18.58,811.88
1.62,1,3,1957,37.69,229.61
1.89,4,3,2002,6.63,668.03
3.24,6,2,1961,22.19,968.69
